controller,demand,seed,vehicles_loaded,vehicles_arrived,clearing_time,mean_delay,p95_delay,stops_per_vehicle,mean_stopped_time,conflicts_blocked,peds_served,ped_mean_wait,ped_p95_wait
Dynamic scheduling,1500,6,1558,1558,3694.0,60.228226820756184,172.75179856115108,4.143132220795892,5.198652118100128,1431,698,22.674262426057357,60.791562891427475
Dynamic scheduling,1500,7,1444,1444,3646.5,45.249382391219264,116.14028776978418,2.3497229916897506,1.684556786703601,1591,706,19.128642415888528,41.60139995504653
Dynamic scheduling,1500,8,1456,1456,3660.0,52.77362632465992,147.25179856115108,3.669642857142857,4.814903846153846,1605,718,21.329274759223747,51.41501985664013
Dynamic scheduling,2000,1,2048,2048,3688.0,104.20163301896503,237.64028776978418,8.69775390625,13.03564453125,3018,751,28.86583307978625,90.14801867277674
Dynamic scheduling,2000,2,2055,2055,3682.5,102.98764518864313,245.75179856115108,9.35669099756691,13.437469586374696,2702,726,29.283563974073292,89.33837752234467
Dynamic scheduling,2000,3,2000,2000,3703.0,113.15305622529046,285.4189189189189,11.327,16.34575,2904,779,31.603185218455685,105.58053237259719
Dynamic scheduling,2000,4,2083,2083,3677.0,104.66236045949387,259.7517985611511,9.950552088334133,14.422227556409025,2801,693,32.380747617796466,112.82661540428671
Dynamic scheduling,2000,5,2057,2057,3685.0,113.0684440556718,270.4189189189189,12.046669907632474,16.64876033057851,3102,758,31.50757535341193,119.52338724795595
Dynamic scheduling,2000,6,2004,2004,3670.5,87.33018501851686,216.75179856115108,6.320359281437126,9.013223552894212,2235,698,27.67999308508317,71.32218301557441
Dynamic scheduling,2000,7,1973,1973,3682.0,120.97927808354028,298.64028776978415,12.820070957932083,18.456918398378104,2678,706,31.524534767163303,114.76494023659711
Dynamic scheduling,2000,8,1986,1986,3693.5,105.5613026848059,258.9189189189189,9.765357502517624,14.153071500503525,2602,718,30.852255260616506,121.69669907139814
Dynamic scheduling,2500,1,2573,2573,4376.0,117.6391015379625,274.7517985611511,11.233579479207151,17.010493587252235,3771,751,32.7539822142736,107.10157118898746
Dynamic scheduling,2500,2,2480,2480,4312.5,123.897175171807,293.64028776978415,12.356451612903227,17.245362903225807,3959,726,32.80766865726889,132.3649022881341
Dynamic scheduling,2500,3,2525,2525,4354.0,116.4059540571988,280.7517985611511,11.151683168316831,15.422376237623762,3715,779,33.120515128596885,124.11007269110064
Dynamic scheduling,2500,4,2510,2510,4240.5,131.00432886381742,294.14028776978415,13.900796812749004,19.67370517928287,4290,693,36.84034357739244,129.33745576824094
Dynamic scheduling,2500,5,2561,2561,4186.0,117.16554490295503,256.64028776978415,9.914877001171417,14.73330730183522,3815,758,33.25955424523249,111.75581815429541
Dynamic scheduling,2500,6,2506,2506,4338.0,117.37573410566876,263.7517985611511,11.489225857940943,16.623104549082203,3705,698,31.048187927490055,120.12688853640202
Dynamic scheduling,2500,7,2518,2518,4146.5,127.17068619324738,287.2517985611511,12.968625893566323,19.86258935663225,4017,706,32.19450643855139,109.09223687551275
Dynamic scheduling,2500,8,2515,2515,4182.0,120.11915711641088,287.14028776978415,11.702186878727634,17.700198807157058,3688,718,34.57300734975296,128.210301823721
Dynamic scheduling,3000,1,3110,3110,5334.5,126.30884917511305,282.7517985611511,12.469453376205788,17.8024115755627,4685,751,33.61083973757585,131.79780809087515
Dynamic scheduling,3000,2,3032,3032,5031.0,127.64673126720022,293.7517985611511,11.986147757255937,16.103891820580476,5005,726,34.35863284459673,110.26772424062142
Dynamic scheduling,3000,3,3010,3010,4773.0,120.85221429034364,260.2517985611511,10.92093023255814,15.697840531561463,4600,779,35.44529048161357,126.0168346885473
Dynamic scheduling,3000,4,3079,3079,5095.0,130.14035784530353,282.2517985611511,12.993829165313413,19.038324131211432,4542,693,32.22129595834482,116.26613774829548
Dynamic scheduling,3000,5,3105,3105,5135.0,130.34583608736386,290.2517985611511,13.289533011272141,18.857487922705314,5049,758,37.74900015552274,138.88236410601235
Dynamic scheduling,3000,6,3036,3036,4911.0,117.359816387889,258.7517985611511,10.096837944664031,13.889986824769434,4232,698,32.06681256932388,95.53574465982933
Dynamic scheduling,3000,7,2895,2895,4908.0,142.76568207973813,326.2517985611511,14.582383419689119,19.355613126079447,4578,706,35.681758563197285,130.3413163219834
Dynamic scheduling,3000,8,2985,2985,5015.5,125.96883287611344,282.14028776978415,12.32428810720268,17.762311557788944,4224,718,35.570221834432644,123.76034643050707
Fixed-time (Webster),1000,1,986,986,3727.5,55.72770813555807,129.363309352518,6.6359026369168355,29.579107505070994,0,751,13.300586741570546,40.932989994023956
Fixed-time (Webster),1000,2,997,997,3727.5,56.1075915542334,127.863309352518,6.705115346038115,29.865095285857574,0,726,13.637558464431413,40.14539451509313
Fixed-time (Webster),1000,3,967,967,3666.5,58.90187390041547,145.363309352518,7.08583247156153,31.715615305067217,0,779,13.709090224874153,42.25416104935971
Fixed-time (Webster),1000,4,1038,1038,3705.0,60.731911549341646,138.75179856115108,7.195568400770713,32.852119460500965,0,693,13.913215150263978,39.455736445654566
Fixed-time (Webster),1000,5,1018,1018,3705.5,60.75821686409133,135.363309352518,7.2524557956777995,32.95481335952849,0,758,13.256915722805061,42.47615336249487
Fixed-time (Webster),1000,6,977,977,3793.5,58.61938497557347,133.363309352518,6.92732855680655,31.57420675537359,0,698,13.392027469037288,40.16924568214483
Fixed-time (Webster),1000,7,925,925,3727.5,56.17300348764064,127.863309352518,6.549189189189189,30.36756756756757,0,706,13.64776422891968,41.74281933490511
Fixed-time (Webster),1000,8,973,973,3670.5,56.76422840505937,126.14028776978418,6.696813977389517,30.842754367934223,0,718,13.8055978790009,41.61636793605339
Fixed-time (Webster),1500,1,1566,1566,3705.5,181.03122126923077,681.6402877697842,33.1162196679438,99.36174968071519,0,751,13.300586741570546,40.932989994023956
Fixed-time (Webster),1500,2,1526,1526,3727.0,131.4939649994433,433.64028776978415,21.506553079947576,70.68807339449542,0,726,13.637558464431413,40.14539451509313
Fixed-time (Webster),1500,3,1473,1473,3727.5,112.6193952747748,319.863309352518,17.229463679565512,60.33401221995927,0,779,13.709090224874153,42.25416104935971
Fixed-time (Webster),1500,4,1557,1557,3769.0,151.381270008729,547.2517985611511,26.162491971740526,80.57514450867052,0,693,13.913215150263978,39.455736445654566
Fixed-time (Webster),1500,5,1539,1539,3794.0,202.65562400719563,702.2517985611511,38.096816114359974,108.40773229369721,0,758,13.256915722805061,42.47615336249487
Fixed-time (Webster),1500,6,1558,1558,3730.0,139.51866327775312,417.863309352518,22.85237483953787,74.22336328626444,0,698,13.392027469037288,40.16924568214483
Fixed-time (Webster),1500,7,1444,1444,3719.5,129.65346826379601,359.4009009009009,20.128808864265928,70.11980609418282,0,706,13.64776422891968,41.74281933490511
Fixed-time (Webster),1500,8,1456,1456,3791.0,129.15171698400127,396.863309352518,20.872939560439562,69.65934065934066,0,718,13.8055978790009,41.61636793605339
Fixed-time (Webster),2000,1,2048,2048,4741.5,293.5424533314658,945.2517985611511,59.51611328125,160.210693359375,0,751,13.300586741570546,40.932989994023956
Fixed-time (Webster),2000,2,2055,2055,4491.5,275.4041902008087,1001.1402877697842,54.62043795620438,151.66155717761558,0,726,13.637558464431413,40.14539451509313
Fixed-time (Webster),2000,3,2000,2000,4150.5,209.68780622528953,693.6402877697842,38.6585,110.3335,0,779,13.709090224874153,42.25416104935971
Fixed-time (Webster),2000,4,2083,2083,4615.5,226.15035853918573,817.1402877697842,43.28804608737398,123.42006721075371,0,693,13.913215150263978,39.455736445654566
Fixed-time (Webster),2000,5,2057,2057,4298.5,288.7407824125024,919.863309352518,57.728731161886245,157.36558094312105,0,758,13.256915722805061,42.47615336249487
Fixed-time (Webster),2000,6,2004,2004,4432.0,261.1917119646242,929.6402877697842,51.98552894211577,144.42165668662673,0,698,13.392027469037288,40.16924568214483
Fixed-time (Webster),2000,7,1973,1973,3959.5,256.81125983721404,850.363309352518,51.40040547389762,136.92549417131272,0,706,13.64776422891968,41.74281933490511
Fixed-time (Webster),2000,8,1986,1986,4108.0,276.8158344068599,850.2517985611511,54.55287009063444,150.1525679758308,0,718,13.8055978790009,41.61636793605339
Fixed-time (Webster),2500,1,2573,2573,5261.0,288.90396745324546,1008.2517985611511,58.53400699572484,158.70948309366497,0,751,13.300586741570546,40.932989994023956
Fixed-time (Webster),2500,2,2480,2480,5317.5,221.5141106556772,836.1402877697842,42.90362903225807,120.98145161290323,0,726,13.637558464431413,40.14539451509313
Fixed-time (Webster),2500,3,2525,2525,5299.5,300.0776372255228,965.863309352518,60.584950495049505,160.9382178217822,0,779,13.709090224874153,42.25416104935971
Fixed-time (Webster),2500,4,2510,2510,5508.0,235.83201810684653,813.7517985611511,46.77211155378486,128.44641434262948,0,693,13.913215150263978,39.455736445654566
Fixed-time (Webster),2500,5,2561,2561,5422.0,284.0304414277587,923.2517985611511,57.47442405310426,154.27020695041,0,758,13.256915722805061,42.47615336249487
Fixed-time (Webster),2500,6,2506,2506,5241.0,212.04732229401557,782.6402877697842,39.68994413407821,116.76256983240224,0,698,13.392027469037288,40.16924568214483
Fixed-time (Webster),2500,7,2518,2518,5231.5,266.9073819835626,825.7517985611511,53.830023828435266,145.58637807783956,0,706,13.64776422891968,41.74281933490511
Fixed-time (Webster),2500,8,2515,2515,4870.0,284.49033007864307,906.2517985611511,57.29184890656064,150.18747514910538,0,718,13.8055978790009,41.61636793605339
Fixed-time (Webster),3000,1,3110,3110,6270.5,304.79228968959654,1123.6402877697842,63.32861736334405,168.45369774919615,0,751,13.300586741570546,40.932989994023956
Fixed-time (Webster),3000,2,3032,3032,6204.0,295.0472919532269,934.863309352518,60.01022427440633,158.40831134564644,0,726,13.637558464431413,40.14539451509313
Fixed-time (Webster),3000,3,3010,3010,5886.0,261.00852658271555,930.6402877697842,51.761794019933554,142.47873754152823,0,779,13.709090224874153,42.25416104935971
Fixed-time (Webster),3000,4,3079,3079,6210.0,256.5026507975735,854.2517985611511,50.48717115946736,138.6820396232543,0,693,13.913215150263978,39.455736445654566
Fixed-time (Webster),3000,5,3105,3105,5865.0,327.1472853627441,1017.2517985611511,67.5011272141707,178.53929146537843,0,758,13.256915722805061,42.47615336249487
Fixed-time (Webster),3000,6,3036,3036,6124.5,243.27351862769,860.7517985611511,47.763504611330696,132.8262516469038,0,698,13.392027469037288,40.16924568214483
Fixed-time (Webster),3000,7,2895,2895,5949.5,313.60506031809314,952.2517985611511,64.96683937823835,169.93540587219343,0,706,13.64776422891968,41.74281933490511
Fixed-time (Webster),3000,8,2985,2985,6077.5,305.06481277562466,1086.6402877697842,64.08274706867671,167.93802345058626,0,718,13.8055978790009,41.61636793605339
Semi-actuated,1000,1,986,986,3688.5,39.474665539209255,94.40090090090091,6.245436105476673,14.178498985801218,0,751,12.307244531184393,33.36129148732857
Semi-actuated,1000,2,997,997,3676.5,36.65272696045217,79.14028776978418,5.7402206619859575,12.824473420260782,0,726,12.009459290877698,34.96831632839212
